Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "Tesla K40t (0)"
	Kernel: void force_kernel_plain<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)
        100     shared_store_transactions_per_request  Shared Memory Store Transactions Per Req    0.000000    0.000000    0.000000
        100              gld_transactions_per_request      Global Load Transactions Per Request   19.756894   19.756894   19.756894
        100              gst_transactions_per_request     Global Store Transactions Per Request    7.733464    7.733464    7.733464
        100                   local_load_transactions                   Local Load Transactions           0           0           0
        100                  local_store_transactions                  Local Store Transactions           0           0           0
        100                  shared_load_transactions                  Shared Load Transactions           0           0           0
        100                 shared_store_transactions                 Shared Store Transactions           0           0           0
        100                          gld_transactions                  Global Load Transactions    52022272    52022272    52022272
        100                          gst_transactions                 Global Store Transactions     8093024     8093024     8093024
        100                  sysmem_read_transactions           System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions          System Memory Write Transactions           0          14           4
        100                    tex_cache_transactions                Texture Cache Transactions           0           0           0
        100                    dram_read_transactions           Device Memory Read Transactions    71763115    72085609    71925631
        100                   dram_write_transactions          Device Memory Write Transactions    24225106    24326750    24259543
        100                      l2_read_transactions                      L2 Read Transactions    73558412    73564818    73560920
        100                     l2_write_transactions                     L2 Write Transactions    28293444    28311349    28302920
        100                     local_load_throughput              Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                    local_store_throughput             Local Memory Store Throughput  1.7384MB/s  1.7427MB/s  1.7406MB/s
        100                    shared_load_throughput             Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   shared_store_throughput            Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                        l2_read_throughput                     L2 Throughput (Reads)  113.97GB/s  114.25GB/s  114.12GB/s
        100                       l2_write_throughput                    L2 Throughput (Writes)  43.850GB/s  43.962GB/s  43.907GB/s
        100                    sysmem_read_throughput             System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
